repo_id,num_issues
17421504,50
20450716,50
10469223,50
200865,51
13435473,52
19488061,53
1420021,54
17845262,54
6396057,55
98127758,55
8610015,56
1964790,56
18465311,56
44639,56
14812688,59
14609176,59
1836972,60
8342186,60
21578,62
738725,62
5335395,62
20431860,64
17214344,64
200892,65
45269,66
24177305,67
10975424,67
48626300,67
9817095,67
68597,67
26361,68
24921644,69
21542990,69
10192171,70
21330312,70
21124647,71
24143180,71
6254482,71
755495,71
3529137,71
52426723,72
12974885,72
9528425,73
10349838,73
26138121,73
60377505,74
23600889,77
25728535,77
295,78
26535,78
30465897,79
16351327,79
5874,79
18911,80
202860,80
8350684,81
34190,82
74972,82
26108120,83
21898406,84
10222861,85
17251056,86
2598645,86
15082681,87
278366,88
29172,88
19073614,89
4655050,89
8358699,89
106864,89
20810,90
36640,90
5386300,90
22043131,91
22057494,92
16523249,92
89634851,93
8970646,93
226276,93
10103538,93
13348074,94
6075528,94
4484746,94
2886,94
1875,94
50301,95
4203,95
8806737,96
27281253,97
10874647,97
366192,97
3457,98
39902,98
13537680,98
15076175,99
380,99
16792845,101
14230337,101
11578477,102
113629,102
28625357,103
25963,103
17827,104
71423085,105
22053855,105
15845303,105
25656386,105
9042228,105
52985,105
15962985,105
536165,105
7025247,105
6653229,106
7216824,109
14122593,110
10659,112
1288351,112
18475,112
23372065,113
28234260,113
14138252,114
5410,114
2604933,116
2055,116
11740562,116
5271444,117
11806054,117
12726,121
24953914,121
57171164,122
4491899,122
3929177,122
39044,123
35250605,123
27943905,124
10063334,124
4563307,125
75275,126
3748,127
10464490,128
21361829,129
505287,129
18773197,130
6072,131
3946,131
125395,132
4652877,132
15444059,134
6967282,134
11752910,135
56505,135
71,136
42512,137
11011866,138
22089512,138
12617548,140
5370926,140
40916741,140
1410770,142
1382487,142
48352,142
2790,142
61728,142
10537426,142
8206542,143
10425716,143
9868545,145
49233685,146
7216211,147
22132266,147
12246131,147
121755,147
14746,148
75957,148
14719391,148
55792194,148
21095166,149
21244239,150
21153789,150
608704,152
24999385,152
6241,153
13335767,153
24919055,154
9570005,154
16798726,155
1385797,155
5534142,156
5672,156
29046908,158
2290,158
15000245,159
22046843,159
425122,160
11227723,160
206279,161
10537914,161
19853249,163
27392494,163
16174927,163
9140398,164
12296078,165
163875,165
47651091,165
6576513,166
604767,166
6712110,167
12222055,168
11989706,168
14758742,169
53537495,169
39059,169
202383,170
12732976,171
20601288,171
71483,171
15039139,173
10873458,176
8009398,177
1362166,177
25910132,178
7001,178
30125644,178
57807606,178
183598,178
18786404,178
15441396,178
12600482,179
14517024,179
15513,180
17277,180
15435558,180
14227639,180
3960711,184
23169,184
12750637,187
8630305,187
11600,189
7485579,189
11077845,190
8645813,190
20857922,191
1838617,192
29352245,193
16820,194
28563416,194
20616039,194
13566846,195
22087532,196
11061834,196
4297009,196
8765,197
3786656,197
40412,197
12738107,197
11473240,197
25265021,198
19106,199
6988998,199
20809368,199
3637549,199
131110,200
592471,201
5522468,202
1970524,202
26784969,202
123425395,203
36172,203
11469777,204
4885,204
24642,205
18236982,206
34693,206
14722879,206
20886902,207
23598943,208
9049071,208
11170476,209
5061354,210
20597272,211
179381,211
30738,211
26511493,211
9986737,212
2760463,213
22047463,214
39474,215
4055917,217
17466160,217
27729263,218
6192576,219
6328765,219
1430096,219
19342324,220
13335590,221
4395431,222
10926776,226
25006,226
10957348,226
9908329,226
3168596,227
84412,228
11107988,229
17753126,229
15215,230
1498950,231
30222,233
5214643,233
1285,233
12712713,233
1530881,233
908642,234
25985095,236
42880,236
1423829,236
11033744,237
742622,238
6694533,238
4300008,239
6800623,240
718118,241
18064534,243
209296,243
16513025,243
17865733,243
280535,244
18085,245
24149266,246
3134642,246
4780795,246
22092731,246
2826050,246
4714616,246
126780,246
2384294,247
12433130,248
26476888,249
13574414,249
18441086,250
56341,255
6993975,258
8401700,259
61075,259
1367535,260
29501215,260
2187,261
9614935,261
225764,262
4911,265
89278,266
20051,266
3368849,268
2675,268
20138,269
9906217,269
16792189,270
128055892,270
1691,270
20881107,271
4043887,271
22045218,272
20668,273
14292770,273
1773970,273
18571,275
4950150,275
588,277
17602888,277
10947458,277
14043,278
11476784,279
8776028,279
20119964,279
30166152,279
176067,280
10999783,280
16325402,281
21932372,281
28864177,282
14061,283
17380601,284
2257593,284
13335799,285
21676222,288
6690250,288
25677,289
22043388,290
42972,290
22072113,291
1443050,291
11491823,292
13426463,292
75465,293
9894505,293
26275233,293
7836,294
6258588,295
8544496,296
2975,297
1834,297
8449086,297
2547593,299
28686845,299
788,300
14660968,301
25445,302
22136279,302
243431,303
17855972,304
3784912,304
921189,307
12221068,308
17711929,311
4123965,312
12346148,312
631244,313
28247,313
10325993,313
27629,314
8941324,315
8304,318
40530,319
6050,319
15959342,319
267105,319
3545,319
3237506,320
15783701,320
13754421,321
8975135,321
13448596,322
101238,323
89745,325
8347675,325
17954742,327
4376,327
7570729,327
39735,328
8383891,328
11322265,329
25793,330
22059760,331
190,333
7982,334
28485,335
16552696,335
6434212,335
90372,335
16310355,336
32453,336
7482117,337
5008,337
200146,337
13608843,338
12279655,339
77027,340
27393615,341
11825419,342
22056630,342
10832091,343
9349662,343
27766,345
19007344,345
13444836,346
13335031,347
20414,347
1398,348
5313,350
24157653,351
8945119,353
5385,354
19230847,356
11451344,356
36727,357
2302971,357
3457973,359
6312005,359
9450327,359
3304945,361
359,362
2776,362
2080,364
5076,364
4569791,364
118137,366
13633412,367
9668961,368
25384,368
18045,370
1597489,372
9682053,373
11808128,373
112249,373
28054,373
10518218,373
11784159,376
1367228,376
9197332,377
4986,380
11825713,380
12603,380
50315,380
13061306,382
2995762,382
19593,384
5049971,384
390637,387
3044523,387
10476134,387
4192078,389
9472730,389
3142597,389
89607,389
22043392,390
10191372,392
4238,394
23560871,394
173433,395
18810686,395
12666890,395
14480973,395
19185,396
18143,396
11354,396
10296,396
11854803,396
3125388,397
72497,398
90216,398
15548,399
16389458,401
4851809,401
6758820,402
10886734,402
18869596,402
2256873,403
3499960,404
22041498,405
45313,406
21971064,406
7001356,406
27406305,407
6845,410
12459174,410
9925226,410
9979642,410
1396558,410
20902395,411
1742,412
265653,412
4723369,412
22044797,413
10280345,414
68508,415
18351,415
1969213,416
1386209,416
17676883,416
11608399,417
22762,417
882750,417
3996688,417
1370924,419
13228,420
5604899,420
7123271,421
6848736,422
7703292,422
11665863,422
19860,422
20893537,423
12224410,424
20286473,424
28540548,424
9419,424
21209121,426
22224104,426
13534407,427
18428995,429
3215872,430
22046921,430
1651970,430
22029287,431
2661,432
33171,433
766,434
35902,434
17270,437
1845441,437
2802308,439
10664358,442
10140572,442
10396186,443
11854349,446
13069452,446
185592,447
6278048,449
7808399,450
22044365,451
1041,452
43113,453
5842750,454
12212528,455
100,456
17223254,456
36413,457
11705644,458
11010021,458
3430,459
7590868,460
1267,461
2331699,463
19589092,463
21420256,463
4045081,464
3138271,464
8380797,464
3827217,464
6848,466
17770132,466
31637091,467
14300352,467
25173953,468
5160353,468
13043,468
54129,468
18893127,468
7562315,469
14069317,469
60130,469
5741726,470
26162616,471
1009774,473
795823,475
20837953,475
11457504,475
21934884,476
5349,478
3226675,478
4189282,478
7025061,480
26125578,481
1345807,481
15500909,481
34342,483
2367496,483
7173222,484
13118547,484
22094578,485
5838603,486
7933,488
52062484,488
334935,489
15637163,489
1356110,490
13041777,491
1749436,492
17692055,492
10188993,493
331875,493
22048045,493
931310,493
7183,496
8102542,497
10657480,498
20519,498
1387588,499
31519580,500
17188864,500
27471,501
4563,502
13336077,503
158949,505
9636546,509
1457347,512
22964,512
23551572,512
34741,513
9840,513
13159881,514
11409953,515
4944,517
6139251,518
24136525,519
5759,520
784448,520
59757,520
3391969,522
3631279,522
11595060,525
13981078,525
12582791,525
6372323,527
30529755,527
4730679,528
3364545,529
7364862,530
18152,530
11475003,531
21757775,531
18122786,532
18817009,534
8566,535
3470,536
13668,537
2851222,540
16180577,540
11432122,540
5846748,540
21608,542
12211732,544
1434458,544
22043615,545
1838223,546
3182,548
13235,548
29173640,548
948188,550
141694,552
839476,552
13773,556
14999882,556
16415055,556
13981,558
1357,558
19388,558
40863,558
22047350,559
6023628,560
2344,564
5420628,565
28009,565
12368,566
17886339,568
23364400,569
4961183,569
12555179,571
28602026,571
10310416,572
62973,573
176465,574
54695,574
1999035,574
9119930,575
13382901,576
1393572,576
837,577
3749766,579
16537,580
7317,580
146476,581
31227,581
7774,582
7751311,583
16259368,583
3240896,584
4060126,584
26040811,586
7306035,586
28473,588
12923,590
10412281,592
3264,592
19565452,592
8202207,592
24139115,595
10847503,595
14707585,595
274,596
39594,597
21852,597
13593381,597
12491295,599
1500988,601
15977326,601
767301,604
857627,605
18743313,606
27586452,606
7949,607
89813,609
3128083,610
449779,610
9732013,610
26190527,611
4929,612
27701,614
1386879,614
16477419,615
46159467,617
3894,618
31719,619
6143269,619
11206387,621
7033,622
1344422,622
33239,622
22358,622
14210902,622
28297,625
14825,630
24569,630
26322,630
516195,635
16247,635
26172924,637
3321949,638
6490831,638
1030091,640
17647452,646
719210,648
29671,650
1298,651
6045,656
10882881,657
12776408,657
10972,658
13153910,658
1408479,658
2401584,658
3805,660
66136,661
4922202,662
29172179,663
6218854,663
3159585,664
2857,666
10610,666
1900277,668
139262,669
11228557,669
968984,671
11830003,672
5267355,673
12578894,676
161036,677
19719314,678
149843,678
22042395,679
9861,681
9393242,682
33565,684
15791422,684
13990,685
151229,686
15149419,686
9792229,687
11851,688
268284,688
1055,688
24888,692
28178404,693
7049205,695
1480937,696
4873,697
18115030,697
56136,697
17387028,698
731872,700
12958,702
5209373,702
22214017,704
11654350,704
39312,704
9766644,708
2007,708
10237904,710
7307002,710
21959,711
35155,711
1002457,712
7466,715
14301706,715
98973,717
18825,718
28769,719
103284,720
1646,720
10135937,720
4431925,720
2841644,721
22602596,722
6149,724
10630786,726
4763137,727
2156,728
56374,728
25901840,730
1597230,730
7035874,731
17294597,732
1619385,732
217063,732
14328,733
10750154,733
10312696,736
83460809,736
7178,739
7566853,741
25813988,741
11136338,741
17664785,741
29057,745
182243,745
25380,746
7580,748
3293797,748
1340597,753
1349059,754
3770252,755
20830713,756
22095642,759
8796303,762
11254,764
11159409,764
1526285,764
5179902,764
20684770,766
45433,768
27217380,769
3097452,769
1042872,769
41295977,771
5585698,771
13340928,771
10011155,771
20235,772
9808205,773
1434,776
34,776
25818108,776
6053504,777
5035451,777
16766337,778
10777706,778
6699359,779
90073,780
1372,782
144967,787
411,788
663065,788
8516218,789
1961397,791
209373,791
4419607,792
1037420,794
17519,804
5022,805
28356853,806
231,807
7431468,808
17797320,813
11194371,818
31095152,826
2260970,831
3759006,831
18156305,831
17735,832
15756,832
17251363,833
3280997,838
10642813,839
6442229,840
13348971,840
7034894,844
1886174,845
21837,845
3031,846
639368,847
6252549,848
18006157,848
12132,849
21274,850
5635,851
55347,852
10412,853
316,856
33145,857
9345057,858
13511109,861
1362806,862
20684774,867
1825768,868
5224,868
10280058,868
29550241,870
29914,873
20375442,875
8923565,876
13668163,876
5980,877
16782015,878
28401052,880
3081764,881
7562587,882
33584352,882
6992183,882
18975714,883
11313132,884
3796031,885
11902,887
3814375,889
5435325,889
10898284,890
4304960,892
29930884,894
8924,896
27344,897
52992,898
2752178,899
3070,900
9122949,901
8140956,902
7930081,905
17729147,909
5220347,910
12049,911
12187659,911
7394527,912
24828418,912
8308350,913
18521760,913
1354162,915
19903,915
7231843,916
2236,919
867354,920
10372914,921
12150380,921
7694902,922
12750961,922
11585218,923
1091,924
21244550,926
10628625,928
13752290,929
12680085,929
3094909,930
15592045,930
23830,930
1358566,930
5162,931
11007523,931
12305915,933
431,934
25334,937
16166,937
7299184,938
11216582,938
11491258,940
20666911,942
2309756,945
2601228,947
3630462,949
8871,952
7233,952
19126917,952
11124,957
1896,960
5245,961
11727010,962
42009,962
16137647,963
6772800,966
8530710,967
7562963,968
3936540,969
4998659,969
2224956,973
34709,973
11003743,974
901629,977
8592995,980
1354207,985
997968,986
8259,987
897,989
5841321,996
13021,999
3045,1000
18733447,1000
20068777,1002
6883,1010
25282303,1010
29527,1010
22042237,1013
1395695,1014
2898,1015
9861851,1019
11724041,1022
6567990,1025
12659542,1025
3482,1030
168,1037
14826353,1042
12607795,1042
9104065,1045
25786233,1050
1588421,1050
8939434,1055
3747964,1056
13360818,1059
18186213,1061
2244,1061
1459566,1061
8992078,1061
1129,1063
1416338,1065
18219363,1067
4252,1072
29523,1074
12219828,1076
1369530,1079
27693,1081
118,1082
20282,1084
10117832,1087
26340507,1092
13535939,1093
1401661,1094
310,1096
129456,1098
48110,1098
12742227,1099
17861278,1099
8818018,1100
5800439,1102
5378,1103
6584,1104
21608473,1104
62315,1106
902679,1107
13255,1107
13720,1108
3095,1109
25826264,1110
1437288,1110
180018,1116
2615807,1116
11471397,1117
1366503,1118
34207266,1118
19479433,1118
11072234,1123
21276,1124
32573154,1126
5693,1127
7345298,1129
14877,1130
31322879,1131
90652,1132
25946909,1135
14622,1141
36129,1142
13461821,1158
11876664,1161
39360,1162
26339258,1162
13093035,1164
15939,1171
9696062,1173
2389915,1174
1465,1174
8478942,1176
8335,1176
26557,1178
694138,1178
11121205,1181
3714,1184
147,1184
15601873,1186
11140376,1187
1379656,1194
19,1198
4537328,1198
10146,1199
17354,1200
5696,1203
18421264,1205
11975,1205
11672,1208
24136388,1210
30155281,1215
10521722,1217
18025548,1220
27194,1221
6947,1224
6205,1231
9357044,1232
23710602,1233
17147581,1233
20743170,1234
22058259,1237
14537323,1238
26148826,1241
15821416,1241
64978016,1242
12713,1242
56659,1243
26185,1244
18781026,1245
14296081,1245
5533782,1248
15915189,1250
26688,1252
21913581,1254
123640,1254
1933719,1258
75598,1260
10804719,1261
21187402,1266
23034,1266
2561674,1270
27393415,1273
8390,1278
11097989,1279
11441,1280
8459142,1280
30988985,1281
10512714,1283
10815238,1284
22528,1288
7118,1293
5561740,1295
9802473,1297
9098258,1302
7415,1304
3164203,1307
344,1308
37617757,1315
10230767,1316
8016,1318
85362,1323
5176747,1326
8514,1327
5598479,1330
4591222,1330
32136,1331
22184029,1333
11537087,1334
9820092,1334
22807,1339
22105376,1343
31366,1347
23569,1350
7211958,1353
2705,1354
24769903,1355
891091,1355
1088,1356
3664437,1359
25866253,1362
5856434,1365
78029,1365
19117,1366
5754,1371
36374,1373
12695,1374
491436,1375
26728,1376
8964129,1377
6758559,1377
19795940,1380
3572704,1382
6151,1385
7015229,1387
8837904,1389
3346024,1390
29643,1391
8255972,1393
6075,1400
16729,1405
12607152,1412
1028984,1414
22031163,1416
608,1417
21577612,1417
3739051,1422
2284,1430
12665,1430
8824,1440
6445576,1441
20374325,1443
12682853,1454
7845,1455
18530655,1455
20110,1458
114,1458
4482398,1461
119372,1461
8284812,1462
12500376,1474
11152037,1477
8214553,1481
22042207,1482
32310,1482
675,1485
100924,1485
2981995,1488
11428873,1488
1654,1493
3329997,1494
16232,1495
6015719,1496
6193207,1505
2408633,1513
14441,1516
6276091,1517
5591439,1524
46368,1524
18043005,1530
26209,1530
25814105,1530
3521399,1530
15554578,1531
16609427,1531
2740299,1533
25681,1535
157290,1540
20161965,1542
4846,1545
9039695,1551
5140545,1558
21571,1563
9682,1577
20138487,1581
5507363,1590
7653971,1603
29146763,1603
6025265,1608
12813154,1610
13762,1611
4489243,1611
3168128,1612
30383770,1614
11371,1616
87033,1619
12718778,1622
15940963,1625
7826,1627
11511,1630
13626659,1631
9697927,1632
10088002,1634
6325605,1634
4102215,1634
65941,1637
22206580,1642
17384,1650
7528,1650
2876,1653
25601631,1655
15841,1659
10277858,1662
9164060,1663
1001578,1667
4376706,1668
22041940,1670
4376708,1671
2968,1677
26666,1677
20450796,1678
8117156,1680
74,1688
22059069,1690
13337190,1693
56050,1693
3354167,1700
977,1701
11794421,1706
11094978,1708
1711636,1708
9664377,1714
6399876,1724
3217567,1726
12579794,1733
45658,1734
739410,1734
537036,1740
4472440,1746
421434,1751
23721930,1753
22194311,1753
391903,1755
1528515,1759
4003655,1760
2717829,1761
15196846,1762
14279,1766
20851822,1768
120682,1772
3806812,1774
29355231,1777
14294826,1783
16795177,1785
16618,1786
8160874,1787
3818,1788
26901327,1792
20707421,1792
23834,1795
11634539,1802
17962275,1802
29148918,1806
12302,1806
22015744,1807
6736272,1811
5626,1812
17947217,1814
1350219,1816
17404142,1818
1972576,1821
10373,1822
13071,1825
1085,1826
38366,1828
4720390,1832
603146,1836
101854,1839
26260360,1839
5209,1849
4399108,1850
4794575,1853
24917798,1858
18795,1860
2909125,1861
5457791,1868
39075,1868
40964011,1871
11821,1877
22401266,1879
40943,1880
3644,1895
854407,1898
857502,1900
5636078,1900
7753732,1906
32023,1906
8249,1913
7608,1918
27092515,1922
1182,1925
14952,1928
4234,1931
22102472,1932
21311549,1933
12831,1937
3815119,1939
2727,1945
16792234,1946
8184,1958
7803,1966
38823,1968
3879861,1968
81335,1968
775774,1969
793139,1969
9570828,1970
16209,1977
87806,1978
33523,1981
4784541,1986
7691517,1992
13066443,1998
1377549,2005
3676758,2009
934,2011
3075805,2012
1155356,2018
8717081,2019
30928,2026
971750,2030
7294,2032
14979838,2033
36713,2034
5057272,2036
55,2050
19093,2052
7058,2053
7372037,2053
3656,2057
101209,2057
209466,2058
1356204,2063
20374,2064
19724343,2075
7098727,2075
10505,2085
3720099,2094
20271797,2097
24539051,2108
16416,2109
12911997,2127
7641,2127
24278680,2128
3486,2129
1565,2130
1397979,2132
4251,2138
52321,2140
3828093,2149
55219,2158
8743391,2172
21164391,2172
10937937,2174
43671,2176
1735275,2179
8937352,2180
21752,2190
14545279,2198
5282855,2204
22198050,2205
13696924,2205
218710,2214
13694299,2223
1372028,2227
11019,2232
6276214,2232
8497,2235
7149279,2239
11151475,2245
28301269,2247
22101095,2251
16554832,2254
22092982,2261
3377,2271
23238531,2276
18104,2299
3174,2302
1036,2308
5230,2312
25822,2315
5167,2318
1743,2332
57334313,2342
5402577,2346
877535,2349
3103499,2366
3635801,2369
1438441,2373
18089783,2377
9626384,2378
4909,2380
2888,2382
35846,2393
6489,2402
21122,2420
5123174,2421
334,2433
3746639,2433
15778405,2436
2922319,2437
10679,2438
1361727,2438
10495335,2440
9663874,2452
11162094,2509
10748827,2522
6075127,2530
8109,2539
16575013,2540
2252771,2544
21586367,2546
7212462,2547
9025349,2562
546037,2582
284,2588
10938134,2595
171390,2597
7770,2607
1312712,2611
19466424,2619
14989,2620
2909122,2622
27564,2628
10502,2630
6488172,2630
15114954,2632
14965067,2638
2067,2644
20429,2647
28857969,2651
1543447,2659
27710429,2674
20315,2678
1710214,2684
7865651,2685
13403042,2687
7834592,2713
11461596,2724
34754970,2728
22087354,2750
1263208,2759
2691,2761
896266,2763
13447331,2769
801441,2777
21127,2792
3388388,2798
31402,2813
3808946,2826
11116784,2843
12752196,2851
11610797,2869
5465315,2885
26591,2891
35134,2894
20364539,2898
19377,2898
149332,2900
11084447,2910
2157,2923
5446,2929
62238,2936
138791,2936
16411922,2938
6992905,2940
9286541,2941
7150069,2950
11494393,2957
8721,2974
10997213,3016
424503,3024
14550,3025
6068879,3026
54491,3041
12190410,3051
10390278,3052
6178378,3067
22616,3098
64630,3120
15919481,3120
2696876,3131
12885,3156
1529,3176
8643285,3184
9402294,3199
47034,3212
29304481,3216
2922081,3239
9509377,3250
2249947,3254
3697,3256
205522,3262
11734247,3262
28858802,3275
7803564,3289
937,3291
14771481,3291
29522,3306
34388,3345
4104353,3350
10438022,3374
6301,3382
28204,3391
558679,3393
4885493,3397
7735464,3409
4234273,3409
30369843,3444
696102,3446
12830,3447
13345616,3476
13424293,3477
24303626,3483
5049584,3490
16948090,3518
1282,3525
7921108,3539
11750714,3543
2366329,3546
20337473,3548
5101,3572
7776438,3580
10192058,3583
7266,3590
11611140,3604
9982829,3621
5504302,3623
13127,3624
1394906,3635
38701,3636
4270248,3641
7657266,3650
4391700,3684
22920,3702
174722,3705
7297388,3714
2847808,3724
98846,3728
13601600,3732
683351,3738
2696,3775
8778426,3786
13340004,3789
565654,3796
9524590,3820
10423929,3822
2560,3822
1173,3823
4580307,3878
22084657,3878
22042509,3919
3475441,3926
20839830,3945
3816,3955
12666384,4036
3040416,4039
15870,4054
2093,4068
12455,4080
13521151,4084
595203,4104
5183711,4107
29890,4111
5042636,4112
6146926,4122
3446481,4154
390,4180
958892,4185
4876188,4192
17802,4198
12656723,4202
27258,4208
1912872,4222
5889,4250
12343173,4258
20629,4263
48099,4280
53095457,4296
5142,4314
25813263,4318
11474326,4319
4003838,4319
6636898,4322
9289602,4356
11702192,4372
8580389,4386
5062667,4390
13860,4398
43061,4422
862,4430
17645532,4448
8246028,4485
22045611,4492
19911836,4517
4735,4522
3406875,4524
6313,4528
9511697,4543
24397,4568
3360645,4569
19797023,4581
11620775,4591
52463,4602
17999809,4626
898600,4630
11117,4663
22045678,4664
6690806,4666
18004957,4682
30272024,4698
4516,4699
29670,4725
20931597,4742
21575067,4752
1953978,4779
10104856,4798
4276991,4807
105757646,4820
17466934,4825
23052,4851
11367097,4924
12813026,4953
5210,5003
39335,5018
13631210,5027
3649407,5034
22841,5056
1911,5062
5767,5094
13576983,5097
12258,5102
14284596,5110
23703003,5114
519,5134
6830,5136
4560965,5212
9384,5215
7930999,5240
29128136,5266
3722347,5279
10084678,5302
1207,5326
17530,5328
6035271,5338
12999108,5357
6946390,5373
11156150,5389
1331862,5402
26166110,5480
6368,5480
14897549,5489
30464,5497
11387,5518
10842035,5543
2363758,5611
114167,5629
17904496,5635
18162315,5657
11638,5697
11673022,5699
8349120,5716
16827424,5742
9789111,5744
7656900,5768
21416,5789
8932041,5793
8195,5796
9238699,5803
1386,5827
3601879,5836
22053028,5852
1554,5865
4314311,5869
29662323,5875
1842,5890
49032,5911
687922,5962
26624,5966
799,6006
10425739,6032
434,6032
12143760,6068
2344415,6085
1996840,6087
940,6140
16778926,6161
30893902,6188
6253397,6218
8204377,6228
19189656,6264
12639184,6302
22205189,6379
8804952,6394
11632333,6418
26985008,6452
7941722,6568
6611508,6575
17947867,6602
1877118,6603
27142,6611
24444,6655
19388130,6726
1043143,6788
24158194,6801
6876142,6801
96553,6804
31810056,6887
3487748,6935
25725,6942
5216326,6949
45297,6952
6401040,7087
3825551,7096
20810216,7196
19860558,7233
900,7268
5455827,7327
16922941,7341
21613416,7358
31340100,7368
6223,7386
29123233,7496
847,7575
5031823,7612
16286325,7681
13407509,7721
18904813,7762
2822,7766
19626,7804
12031,7848
1344612,7922
21483441,7985
12752080,7998
3228357,8025
183,8079
15704905,8081
3231,8116
29253,8202
27478957,8236
6806,8277
2539527,8319
2719,8404
2812,8411
9678863,8465
5603,8512
14807988,8529
44428,8672
39505,8702
17795253,8742
18059067,8748
4371013,8802
10313339,8804
27712743,8872
17911207,8946
3516,8950
10912,8978
11750891,9003
6815,9018
5414190,9050
10394777,9072
143612,9086
2257240,9108
19010386,9318
30508301,9361
3207718,9578
4563494,9647
252,9688
7197777,9708
6705344,9715
27601818,9754
9427,9827
5768596,9844
18196222,9928
3795273,9969
12336827,10072
1227,10128
16351512,10154
2045,10172
174642,10235
6421472,10664
367,10720
15012233,10740
6026,10834
2989453,10860
177326,10898
3209,11124
20743223,11288
9422,11498
10070,11629
16273814,11670
11450,11759
55877825,11770
961,11773
10576004,11823
321869,11847
4765,11850
853,11971
15762,12119
1366147,12156
770,12180
34957,12193
7332776,12204
6437914,12282
14945138,12401
2122,12444
6824363,12452
417939,12560
7537,12732
2254769,12732
28032966,12794
8540,12802
10200435,12808
24203553,13233
9793,13390
181526,13429
1799,13450
26047131,13485
29,13532
9316,13587
14794450,13811
2558,13964
36943,14022
540,14056
1528221,14114
21426700,14366
2254383,14482
20281355,14660
10045,14686
20891188,14689
9510870,14832
392,14881
3912,14967
20796,15143
11619995,15240
6801328,15256
1545591,15266
3246,15548
30500617,15923
4594792,16156
4135,16592
158753,16610
23599187,16680
16356,16742
4952344,17049
5831963,17096
7212135,17173
9527814,17285
18659,17308
20096,17368
4068,17496
9626183,17543
7976200,17663
37,17712
2916055,17770
25991,17950
21170493,18050
18022219,18501
340,18626
2261072,20207
1348749,20235
1353232,20238
4095,20314
5455,20318
7704341,20356
17302013,20862
13721,21142
26245476,21194
11065419,21211
20861785,21255
181023,21292
528,21296
21382248,21312
31723,21604
2185,21612
3137,22546
11372864,23251
1350237,24342
23203,24387
84149,25434
2184,25466
8196280,25646
6013,27382
10998645,27416
5524547,27908
2281,27987
1992097,28184
5219,28348
8127,28598
4708601,28703
27329,29002
10039226,30238
12159636,30933
3905191,31574
10941284,31800
9706049,32421
864,32668
1920,33550
26108963,33685
202,35093
14477484,35785
15022227,35879
17302594,35910
524804,36093
17296591,36671
16827100,36960
1334,37188
7115486,37840
6,39118
20096264,39300
22041839,39388
6866209,40626
14098,42327
27261269,43762
581,44616
9570147,46380
1717,48164
3085,49122
15889688,49162
13465629,49350
29261651,50328
17991525,50400
1142,53931
28054298,56000
17694,56902
28557277,59118
1486,59324
634,64794
22091370,72304
13378441,74714
28947324,75010
20078281,86073
6093,96270
10313229,99030
3777,125648
